strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	MuV_genotype
Massachusetts.USA/30.16/1/G	mumps	MF965299	2016-08-01	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965299	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Alabama.USA/15.17/FH139/G	mumps	Fred_Hutch_seq_139	2017-04-XX	North America	Usa	Alabama	Alabama	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/19.17/2/G	mumps	MG986412	2017-05-11	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986412	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/19.16/3/G	mumps	BCCDC83	2016-05-10	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/9.17/FH42/G	mumps	Fred_Hutch_seq_42	2017-03-06	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Arkansas.USA/12.17/G	mumps	MK585570	2017-03-21	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585570	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
Massachusetts.USA/16.16/10/G	mumps	MF965255	2016-04-22	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965255	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Arkansas.USA/49.16/G	mumps	MK585615	2016-11-29	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585615	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
NewHampshire.USA/40.16/G	mumps	MG986463	2016-10-07	North America	Usa	New Hampshire	New Hampshire	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986463	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/12.17/5/G	mumps	Ontario_outbreak_16	2017-03-25	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Wisconsin.USA/41.06/FH99/G	mumps	Fred_Hutch_seq_99	2006-10-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/8.16/3/G	mumps	MF965254	2016-02-25	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965254	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/10.17/FH52/G	mumps	Fred_Hutch_seq_52	2017-03-12	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Springdale_754/2016/G	mumps	KY996512	2016-XX-XX	North America	Usa	Arkansas	Arkansas	genbank	genome	Wongsurawat et al	https://www.ncbi.nlm.nih.gov/nuccore/KY996512	Three Complete Genome Sequences of Genotype G Mumps Virus from the 2016 outbreak in Arkansas, USA	Unpublished	?	G
Massachusetts.USA/16.16/18/G	mumps	MF965288	2016-04-25	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965288	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/50.16/FH126/G	mumps	Fred_Hutch_seq_126	2016-12-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/3.17/FH62/G	mumps	Fred_Hutch_seq_62	2017-01-19	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/17.17/G	mumps	MG986435	2017-04-23	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986435	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ohio.USA/19.16/FH119/G	mumps	Fred_Hutch_seq_119	2016-05-XX	North America	Usa	Ohio	Ohio	fh	genome	Moncla et al	?	Unpublished	?	?	G
NewYork.USA.USA/51.14/G	mumps	MG986410	2014-12-16	North America	Usa	New York	New York	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986410	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
RIT4385	mumps	FJ211585	?	?	?	?	?	genbank	genome	Tillieux et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ211585	Comparative analysis of the complete nucleotide sequences of measles, mumps, and rubella strain genomes contained in Priorix-Tetra and ProQuad live attenuated combined vaccines	Vaccine 27 (16), 2265-2273 (2009)	https://www.ncbi.nlm.nih.gov/pubmed/19428841	?
Massachusetts.USA/17.16/6/G	mumps	MF965196	2016-04-25	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965196	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/20.16/1/G	mumps	BCCDC71	2016-05-22	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
New_York.USA/53.09/3	mumps	JX287387	2010-01-07	North America	Usa	New York	New York	genbank	genome	Kirkness et al	https://www.ncbi.nlm.nih.gov/nuccore/JX287387	Direct Submission	Submitted (12-JUN-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?	?
Washington.USA/9.17/FH16/G	mumps	Fred_Hutch_seq_16	2017-02-28	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/2.17/FH66/G	mumps	Fred_Hutch_seq_66	2017-01-13	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/12.16/3/G	mumps	MF965278	2016-03-25	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965278	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Du/CRO05	mumps	EU370207	2005-XX-XX	Europe	Croatia	Croatia	Croatia	genbank	genome	Santak et al	https://www.ncbi.nlm.nih.gov/nuccore/EU370207	Mumps virus isolate in Croatia in 2005	Unpublished	?	?
BritishColumbia.CAN/8.17/3/G	mumps	BCCDC35	2017-02-22	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/4.17/FH103/G	mumps	Fred_Hutch_seq_103	2017-01-29	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Indiana.USA/5.14/G	mumps	MG986387	2014-01-31	North America	Usa	Indiana	Indiana	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986387	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/24.16/7/G	mumps	BCCDC56	2016-06-15	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Ge9.DEU/0.77/D	mumps	KF878076	1977-XX-XX	Europe	Germany	Germany	Germany	genbank	genome	Jin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF878076	Genomic diversity of mumps virus and global distribution of the 12 genotypes	Rev. Med. Virol. (2014) In press	https://www.ncbi.nlm.nih.gov/pubmed/25424978	D
Massachusetts.USA/14.17/G	mumps	MG986439	2017-04-02	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986439	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/2.17/FH47/G	mumps	Fred_Hutch_seq_47	2017-01-11	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Missouri.USA/2.17/FH127/G	mumps	Fred_Hutch_seq_127	2017-01-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
31170263	mumps	LC325488	2017-XX-XX	Japan Korea	Japan	Japan	Japan	genbank	genome	Hasegawa et al	https://www.ncbi.nlm.nih.gov/nuccore/LC325488	Detection of Mumps rubulavirus Tokyo, Japan	Unpublished	?	?
NewYork.USA/51.14/G	mumps	Broad_sequence_54	2014-12-16	North America	Usa	New York	New York	broad	genome	Wohl et al	?	Unpublished	?	?	G
Glouc1/UK96	mumps	AF280799	1996-XX-XX	Europe	United Kingdom	England	Gloucester	genbank	genome	Jin et al	https://www.ncbi.nlm.nih.gov/nuccore/AF280799	The genomic sequence of a contemporary wild-type mumps virus strain	Virus Res. 70 (1-2), 75-83 (2000)	https://www.ncbi.nlm.nih.gov/pubmed/11074127	?
BritishColumbia.CAN/24.16/3/G	mumps	BCCDC55	2016-06-14	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Kansas.USA/8.17/4/G	mumps	MG986456	2017-02-23	North America	Usa	Kansas	Kansas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986456	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/7.17/G	mumps	MG986422	2017-02-13	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986422	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Urabe_AM-9-A	mumps	AB000386	?	?	?	?	?	genbank	genome	Mori et al	https://www.ncbi.nlm.nih.gov/nuccore/AB000386	Complete Nucleotide Sequence of the Mumps Virus Urabe Vaccine Strain Genomic cDNA	Rinsho To Uirusu 23, 341-352 (1995)	?	?
BritishColumbia.CAN/31.16/2/G	mumps	BCCDC95	2016-08-04	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Montana.USA/11.16/G	mumps	MG986420	2016-03-15	North America	Usa	Montana	Montana	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986420	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/11.07/FH108/G	mumps	Fred_Hutch_seq_108	2007-03-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Dadra_NagarHaveli.IND/42.16/1/G	mumps	KY604739	2016-10-13	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KY604739	Mumps outbreak in a tribal population from the Union Territory of Dadra and Nagar Haveli, India	Unpublished	?	G
Ontario.CAN/12.17/3/G	mumps	Ontario_outbreak_14	2017-03-20	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Michigan.USA/4.16/G	mumps	MG986419	2016-01-26	North America	Usa	Michigan	Michigan	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986419	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/18.16/1/G	mumps	MF965265	2016-05-04	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965265	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/34.16/2/F	mumps	BCCDC37	2016-08-27	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	F
BritishColumbia.CAN/24.16/2/G	mumps	BCCDC18	2016-06-13	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Gabon/9.13/2/G	mumps	KJ810514	2013-03-01	Africa	Gabon	Gabon	Gabon	genbank	genome	Maganga et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ810514	Genotyping of Mumps virus strain ciruclating in Franceville, Gabon	Unpublished	?	G
Ontario.CAN/12.17/2/G	mumps	Ontario_outbreak_13	2017-03-21	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Massachusetts.USA/17.16/10/G	mumps	MF965276	2016-05-01	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965276	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/22.16/2/G	mumps	MF965237	2016-06-03	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965237	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/7.07/FH107/G	mumps	Fred_Hutch_seq_107	2007-02-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/19.16/4/G	mumps	MF965304	2016-05-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965304	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/06.17/3/G	mumps	Ontario_outbreak_8	2017-02-08	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Massachusetts.USA/24.17/5/K	mumps	MG986430	2017-06-16	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986430	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	K
Washington.USA/4.17/FH60/G	mumps	Fred_Hutch_seq_60	2017-02-03	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/16.16/4/G	mumps	BCCDC25	2016-04-21	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/16.17/FH152/G	mumps	Fred_Hutch_seq_152	2017-04-17	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/2.17/FH21/G	mumps	Fred_Hutch_seq_21	2017-01-13	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/14.17/FH145/G	mumps	Fred_Hutch_seq_145	2017-04-06	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Missouri.USA/29.15/FH114/G	mumps	Fred_Hutch_seq_114	2015-07-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Akita.JPN/42.93/I	mumps	KF878078	1993-10-22	Japan Korea	Japan	Japan	Japan	genbank	genome	Jin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF878078	Genomic diversity of mumps virus and global distribution of the 12 genotypes	Rev. Med. Virol. (2014) In press	https://www.ncbi.nlm.nih.gov/pubmed/25424978	I
Massachusetts.USA/22.17/5/G	mumps	MG986427	2017-05-31	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986427	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Arkansas.USA/41.16/G	mumps	MK585596	2016-10-03	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585596	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
SP	mumps	DQ649478	2007-07-15	China	China	China	China	genbank	genome	Ma et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ649478	Sequence analysis of the SH gene and its flanking region of mumps virus isolated strain (SP strain)	Microbes Infect. (2006) In press	?	?
Massachusetts.USA/10.16/5/G	mumps	MF965253	2016-03-10	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965253	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
31170170	mumps	LC325483	2017-XX-XX	Japan Korea	Japan	Japan	Japan	genbank	genome	Hasegawa et al	https://www.ncbi.nlm.nih.gov/nuccore/LC325483	Detection of Mumps rubulavirus Tokyo, Japan	Unpublished	?	?
Wisconsin.USA/28.06/FH159/G	mumps	Fred_Hutch_seq_159	2006-07-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/20.16/1/G	mumps	MF965311	2016-05-18	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965311	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/8.17/FH142/G	mumps	Fred_Hutch_seq_142	2017-02-22	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/28.16/6/G	mumps	BCCDC100	2016-07-14	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/45.16/1/G	mumps	MF965285	2016-11-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965285	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Bedford.GBR/0.89/H	mumps	KF878077	1989-XX-XX	Europe	United Kingdom	England	Bedford	genbank	genome	Jin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF878077	Genomic diversity of mumps virus and global distribution of the 12 genotypes	Rev. Med. Virol. (2014) In press	https://www.ncbi.nlm.nih.gov/pubmed/25424978	H
BritishColumbia.CAN/26.16/5/G	mumps	BCCDC99	2016-06-30	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
attenuated_RS-12	mumps	JQ388691	?	West Asia	Iran	Iran	Iran	genbank	genome	Alirezaie et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ388691	Wild and attenuated vaccine RS-12 strains of mumps virus exhibit differences in amino acid sequences of their proteins	Acta Virol. 58 (3), 287-291 (2014)	https://www.ncbi.nlm.nih.gov/pubmed/25283866	?
BritishColumbia.CAN/29.16/4/G	mumps	BCCDC103	2016-07-24	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
BritishColumbia.CAN/21.16/6/G	mumps	BCCDC34	2016-05-25	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/22.17/3/G	mumps	MG986402	2017-05-30	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986402	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/16.17/FH79/G	mumps	Fred_Hutch_seq_79	2017-04-23	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/22.16/2/G	mumps	BCCDC72	2016-05-31	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/10.16/10/G	mumps	MF965219	2016-03-12	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965219	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/23.16/1/G	mumps	MF965314	2016-06-19	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965314	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/5.17/FH72/G	mumps	Fred_Hutch_seq_72	2017-02-01	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/18.16/G	mumps	BCCDC30	2016-05-04	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/16.16/3/G	mumps	MF965250	2016-04-19	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965250	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.16/4/G	mumps	MF965318	2016-03-10	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965318	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/16.16/19/G	mumps	MF965269	2016-04-22	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965269	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/3.17/FH67/G	mumps	Fred_Hutch_seq_67	2017-01-17	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/10.16/9/G	mumps	MF965270	2016-03-10	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965270	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Arkansas.USA/47.16/G	mumps	MK585577	2016-11-14	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585577	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
Ohio.USA/13.14/7/G	mumps	MG986446	2014-03-25	North America	Usa	Ohio	Ohio	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986446	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/45.16/5/G	mumps	MF965300	2016-11-13	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965300	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.16/8/G	mumps	MF965310	2016-03-12	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965310	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/9.16/1/G	mumps	MF965227	2016-03-02	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965227	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.16/12/G	mumps	MF965244	2016-03-12	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965244	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/33.16/2/G	mumps	BCCDC91	2016-08-18	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Wisconsin.USA/15.06/FH131/G	mumps	Fred_Hutch_seq_131	2006-04-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/9.16/3/G	mumps	MF965286	2016-03-05	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965286	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/29.16/3/G	mumps	BCCDC105	2016-07-22	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Manitoba.CAN/43.16/11/G	mumps	BCCDC21	2016-10-26	North America	Canada	Manitoba	Manitoba	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Shandong.CHN/4.05/F	mumps	KF042304	2005-01-29	China	China	Shandong	Shandong	genbank	genome	Cui et al	https://www.ncbi.nlm.nih.gov/nuccore/KF042304	[Genetic analysis of a genotype F mumps virus based on its complete genome sequence]	Bing Du Xue Bao 29 (6), 602-607 (2013)	https://www.ncbi.nlm.nih.gov/pubmed/24520765	F
Wisconsin.USA/24.16/FH120/G	mumps	Fred_Hutch_seq_120	2016-06-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/24.17/4/G	mumps	MG986428	2017-06-19	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986428	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/17.17/FH39/G	mumps	Fred_Hutch_seq_39	2017-04-27	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/22.16/3/G	mumps	MF965294	2016-06-03	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965294	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/19.16/8/G	mumps	MF965317	2016-05-11	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965317	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Missouri.USA/28.17/FH101/G	mumps	Fred_Hutch_seq_101	2017-07-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
SP-A	mumps	FJ556896	2005-XX-XX	China	China	China	China	genbank	genome	Ma et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ556896	Direct Submission	Submitted (16-DEC-2008) Viral Immunology, Institute of Medical Biology, Chinese Academy of Medical Sciences, Peking Union Medical College, 379, Jiaoling Rd, Kunming, Yunnan 650118, China	?	?
Ohio.USA/2.18/FH102/G	mumps	Fred_Hutch_seq_102	2018-01-XX	North America	Usa	Ohio	Ohio	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/04.17/1/G	mumps	Ontario_outbreak_20	2017-01-23	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Massachusetts.USA/16.16/13/G	mumps	MF965200	2016-04-22	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965200	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
