strain	strain_name	segment	date	host	country	ORF2_type	ORF1_type
MN588299	HNV1	NA	2019-07-20	Human	China	GII.4	GII.P31 (GII.Pe)
MN588301	HNV9	NA	2019-06-24	Human	China	GII.4	GII.P31 (GII.Pe)
MN588303	HNV16	NA	2019-01-03	Human	China	GII.4	GII.P31 (GII.Pe)
MT742777	WT_NORO_0887	NA	2019-03-XX	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MW559994	KLF_NOV_001	NA	2019-02-22	Human	Kenya	GII.4	GII.P31 (GII.Pe)
MN588306	HNV22	NA	2019-08-03	Human	China	GII.4	GII.P31 (GII.Pe)
MN588307	QNV114	NA	2019-01-12	Human	China	GII.4	GII.P31 (GII.Pe)
MN588302	HNV13	NA	2019-01-05	Human	China	GII.4	GII.P31 (GII.Pe)
MN588300	HNV6	NA	2019-06-21	Human	China	GII.4	GII.P31 (GII.Pe)
MW559990	KLF_NOV_004	NA	2019-05-09	Human	Kenya	GII.4	GII.P31 (GII.Pe)
MN588304	HNV20	NA	2019-01-29	Human	China	GII.4	GII.P31 (GII.Pe)
MW559992	KLF_NOV_005	NA	2019-08-07	Human	Kenya	GII.4	GII.P31 (GII.Pe)
MW559993	KLF_NOV_002	NA	2019-03-06	Human	Kenya	GII.4	GII.P31 (GII.Pe)
MN588305	HNV21	NA	2019-08-03	Human	China	GII.4	GII.P31 (GII.Pe)
MT026582	Aiken0160	NA	2019-04-09	Human	USA	GII.4	GII.P4
MT031821	Davidson0138	NA	2019-01-30	Human	USA	GII.4	GII.P16
MW045405	1065	NA	2017-04-13	Human	China	GII.4	GII.P13
