Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/Austria/CeMM24089/2022	Lukas Endler et al	EPI_ISL_10204543	Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		GISAID	sars2_21L
hCoV-19/Switzerland/ZH-UZH-IMV-3ba63652/2022	Chaoran Chen et al	EPI_ISL_12835392	Stadtspital Triemli	Institute of Medical Virology, University of Zurich / Department of Biosystems Science and Engineering, ETH Zürich	OW971522.1	GISAID	sars2_21L
hCoV-19/SaintLucia/146101/2022	Carlos Rampersad on behalf of CARPHA et al	EPI_ISL_13759138	Ezra Long Laboratory Victoria Hospital	CARPHA		GISAID	sars2_21L
hCoV-19/SaintLucia/146107/2022	Carlos Rampersad on behalf of CARPHA et al	EPI_ISL_13759144	Ezra Long Laboratory Victoria Hospital	CARPHA		GISAID	sars2_21L
hCoV-19/Guatemala/4952-LNS/2022	Mendoza L et al	EPI_ISL_13490327	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Switzerland/BL-ETHZ-36695921/2022	Christian Beisel et al	EPI_ISL_11300077	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	OW219319.1	GISAID	sars2_21L
hCoV-19/Ecuador/UEES-INTERLAB-UG-7515632/2022	Derly Andrade Molina et al	EPI_ISL_11112158	INTERLAB	Omics Sciences Laboratory		GISAID	sars2_21L
hCoV-19/BosniaandHerzegovina/AGCOB2542/2022	Pecar D et al	EPI_ISL_13804568	"General Hospital ""Abdulah Nakas"""	Alea Genetic Centre		GISAID	sars2_21L
hCoV-19/Mexico/GRO_InDRE_FB14031_E12316705155_S13213/2022	Claudia Wong-Arambula et al	EPI_ISL_12739347	LESP Guerrero	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		GISAID	sars2_21L
hCoV-19/Romania/B-6385/2022	Corina Casangiu et al	EPI_ISL_9967540	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory		GISAID	sars2_21L
hCoV-19/Belarus/HM-CRIE-7740894292/2022	Gasich Elena et al	EPI_ISL_12413378	The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology		GISAID	sars2_21L
hCoV-19/Georgia/Tb-sNGS6466/2022	Giorgi Tomashvili et al	EPI_ISL_16200677	Cito Lab	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.		GISAID	sars2_21L
hCoV-19/Iceland/DCGN-0003117/2022	Melsted et al	EPI_ISL_16929611	deCODE genetics	deCODE genetics		GISAID	sars2_21L
hCoV-19/Turkey/HSGM-G5946/2022	Fatma Bayrakdar et al	EPI_ISL_11575332	Ministry of Health Turkey	Ministry of Health Turkey		GISAID	sars2_21L
hCoV-19/Cameroon/13559/2022	Njouom Richard et al	EPI_ISL_15763785	CENTRE PASTEUR DU CAMEROUN	CENTRE PASTEUR DU CAMEROUN		GISAID	sars2_21L
hCoV-19/NorthMacedonia/IPH-MKD-161/2022	Teodora Buzharova et al	EPI_ISL_13032696	Laboratory of Virology - Institute of Public Health Skopje, Macedonia	Laboratory of Virology - Institute of Public Health Skopje, Macedonia		GISAID	sars2_21L
hCoV-19/USA/NV-ASC-210768896/2022	Cyndi Clark et al	EPI_ISL_15223258	Aegis Sciences Corporation	Aegis Sciences Corporation		GISAID	sars2_21L
hCoV-19/Croatia/35892/2022	Irena Tabain et al	EPI_ISL_12491145	"Klinika za infektivne bolesti ""Dr. Fran Mihaljević"""	Hrvatski zavod za javno zdravstvo		GISAID	sars2_21L
hCoV-19/Germany/NI-RKI-I-633902/2022	?	EPI_ISL_11477056	Medizinisches Versorgungszentrum Göttingen (MVZ) Kinderwunschzentrum Zentrum für Labordiagnostik Institut für Pathologie und Zytologie	Robert Koch Institute		GISAID	sars2_21L
hCoV-19/Latvia/7137523/2022	Reinis Vangravs et al	EPI_ISL_13631411	Centrālā Laboratorija	Riga East Clinical University Hospital, National Microbiology Reference Laboratory		GISAID	sars2_21L
hCoV-19/Chile/RM-44688/2022	Karen Orostica et al	EPI_ISL_12690731	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Mexico/MEX-INMEGEN-72-91/2022	Cedro-Tanda A et al	EPI_ISL_12972724	SALUD DIGNA	Instituto Nacional de Medicina Genomica		GISAID	sars2_21L
hCoV-19/Bolivia/SAN-UPCH-3545/2022	Esdenka Pérez et al	EPI_ISL_17206076	Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia		GISAID	sars2_21L
hCoV-19/Luxembourg/LNS9648202/2022	Anke Wienecke-Baldacchino et al	EPI_ISL_12440784	Laboratoire national de sante, Microbiology, Virology	Laboratoire national de sante, Microbiology, Microbial Genomics Platform		GISAID	sars2_21L
hCoV-19/Kuwait/Jaber2220124764/2022	Dr. Zahrah Buhamad et al	EPI_ISL_11800548	Jaber Al Ahmad Al Sabah Hospital	Virology Lab, Jaber Al Ahmad Al Sabah Hospital		GISAID	sars2_21L
hCoV-19/USA/WI-CDC-LC0501933/2022	Dakota Howard et al	EPI_ISL_9523361	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM521762.1	GISAID	sars2_21L
hCoV-19/Singapore/600/2022	Grace Ngan et al	EPI_ISL_8927223	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/Greece/327683/2022	Emmanouil Athanasiadis et al	EPI_ISL_10129536	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)		GISAID	sars2_21L
hCoV-19/Finland/THL-202206589/2022	Soile Blomqvist et al	EPI_ISL_10513734	SataDiag	Expert Microbiology, National Institute for Health and Welfare		GISAID	sars2_21L
hCoV-19/Australia/QLD0x00D170/2022	Chenwei Wang on behalf of Q-PHIRE Genomics et al	EPI_ISL_11157187	Pathology Queensland and Forensic Scientific Services	PHV-FSS		GISAID	sars2_21L
hCoV-19/USA/WA-CDC-LC0553140/2022	Dakota Howard et al	EPI_ISL_10841686	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM942274.1	GISAID	sars2_21L
hCoV-19/Germany/BW-RKI-I-504794/2022	?	EPI_ISL_9720544	SYNLAB MVZ Leinfelden-Echterdingen	Robert Koch Institute		GISAID	sars2_21L
hCoV-19/USA/MD-CDC-LC0597511/2022	Dakota Howard et al	EPI_ISL_12618936	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON465505.1	GISAID	sars2_21L
hCoV-19/USA/AL-PED-0178/2022	Tanya Novak et al	EPI_ISL_12839910	Boston Children's Hospital	Northwestern University - Center for Pathogen Genomics and Microbial Evolution		GISAID	sars2_21L
hCoV-19/Panama/SEQ1070-GMI/2022	Claudia Gonzalez et al	EPI_ISL_13105696	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Nepal/NPHL-S-1554/2022	National Public Health Laboartory Team/Belahiya Health Desk et al	EPI_ISL_13388897	Belahiya Health Desk	National Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Myanmar/DSMRC-094/2022	Khine Zaw Oo et al	EPI_ISL_11149639	DSMRC	Defence Services Medical Research Centre (DSMRC)	ON038767.1	GISAID	sars2_21L
hCoV-19/Myanmar/DSMRC-077/2022	Khine Zaw Oo et al	EPI_ISL_11149535	Defence Services Medical Research Centre (DSMRC)	Defence Services Medical Research Centre (DSMRC)	ON038754.1	GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-18593/2022	Carlos Padilla Rojas et al	EPI_ISL_13408428	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Tianjin/TJCDC-0360/2022	Li Xiaoyan et al	EPI_ISL_16923457	Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention		GISAID	sars2_21L
hCoV-19/Singapore/3099/2022	Benny Yeo et al	EPI_ISL_11448882	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/USA/ND-NDDH-13834/2022	Lisa Wingerter et al	EPI_ISL_11798597	North Dakota Department of Health, Public Health Laboratory	North Dakota Department of Health, Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Canada/NB-CHUDGLD-170322-MM00960R/2022	Chacko S. et al	EPI_ISL_11895332	New Brunswick - Vitalite Health Network	New Brunswick - Vitalite Health Network		GISAID	sars2_21L
hCoV-19/Myanmar/DSMRC-106-7/2022	Khine Zaw OO et al	EPI_ISL_14241969	Defence Services Medical Research Center	DSMRC	OP159816.1	GISAID	sars2_21L
hCoV-19/DominicanRepublic/1898204-LNSPDD/2022	Isaac Miguel Sánchez et al	EPI_ISL_14061651	Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló		GISAID	sars2_21L
hCoV-19/Chile/AN-67454/2022	Constanza Campano et al	EPI_ISL_13719521	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Slovenia/180579/2022	Alen Suljič et al	EPI_ISL_13251215	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana		GISAID	sars2_21L
hCoV-19/SintMaarten/SX-RIVM-102095/2022	Adam Meijer et al	EPI_ISL_13332118	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-103220/2022	Adam Meijer et al	EPI_ISL_13431764	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-103218/2022	Adam Meijer et al	EPI_ISL_13431763	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Australia/TAS001533/2022	J Williamson et al	EPI_ISL_11834586	Royal Hobart Hospital	Royal Hobart Hospital		GISAID	sars2_21L
hCoV-19/Panama/M218985-GMI/2022	Claudia Gonzalez et al	EPI_ISL_11859558	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Iceland/L-888/2022	Freyja Valsdottir et al	EPI_ISL_14352403	Landspitali Department of Clinical Microbiology	Landspitali Department of Clinical Microbiology		GISAID	sars2_21L
hCoV-19/USA/CA-D2TWNX1BYXK1D/2022	UC Davis Genome Center et al	EPI_ISL_9551429	UC Davis Genome Center	UC Davis Genome Center		GISAID	sars2_21L
hCoV-19/USA/NC-CDC-LC0670946/2022	Dakota Howard et al	EPI_ISL_13162895	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON710275.1	GISAID	sars2_21L
hCoV-19/Palau/PW-H2210825/2022	Pamela O'Brien et al	EPI_ISL_12837079	Laboratory Services, Palau Ministry of Health	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_2564/2022	Cortinas et al	EPI_ISL_16402702	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-15457/2022	Carlos Padilla Rojas et al	EPI_ISL_11526412	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/NewZealand/22CH3182/2022	Sarah Cockerton et al	EPI_ISL_12545001	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/USA/IA-2114727/2022	"""Reeb et al"	EPI_ISL_17130751	Molecular, State Hygienic Laboratory at the University of Iowa	Molecular, State Hygienic Laboratory at the University of Iowa		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu5518/2022	Chandima Jeewandara et al	EPI_ISL_13232331	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/Panama/SEQ1241-GMI/2022	Claudia Gonzalez et al	EPI_ISL_14712892	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Guadeloupe/cerba-22Q0085713/2022	Laura Verdurme et al	EPI_ISL_14334043	Lbbms Bio Pole Antilles	Laboratoire Cerba		GISAID	sars2_21L
hCoV-19/Luxembourg/LNS8178428/2022	Anke Wienecke-Baldacchino et al	EPI_ISL_13031492	Laboratoires Reunis	Laboratoire national de sante, Microbiology, Microbial Genomics Platform		GISAID	sars2_21L
hCoV-19/Uganda/UVRI_KBK2787/2022	John Kayiwa et al	EPI_ISL_17292848	Koboko Hospital	UVRI_ARBOVIROLOGY_DEPARTMENT		GISAID	sars2_21L
hCoV-19/Uganda/MRC-UVRI-C2301065/2022	Deogratius Ssemwanga et al	EPI_ISL_16613358	MRC/UVRI & LSHTM Uganda Research Unit, Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit, Uganda Virus Research Institute		GISAID	sars2_21L
hCoV-19/Uganda/510/2022	Alisen Ayitewala et al	EPI_ISL_13952132	Mulago National Referral Hospital	Central Public Health Laboratories		GISAID	sars2_21L
hCoV-19/Uganda/462/2022	Alisen Ayitewala et al	EPI_ISL_13611548	Mbarara Regional Referral Hospital	Central Public Health Laboratories		GISAID	sars2_21L
hCoV-19/Vietnam/08142/2022	Nguyen Van Vinh Chau et al	EPI_ISL_12703335	Oxford University Clinical Research Unt	Oxford University Clinical Research Unt		GISAID	sars2_21L
hCoV-19/USA/PA-VSP11605/2022	Andrew D. Marques et al	EPI_ISL_12001409	Hospital of the University of Pennsylvania Molecular Pathology Lab	Bushman	ON222975.1	GISAID	sars2_21L
hCoV-19/Australia/SA181173/2022	Caitlin Selway et al	EPI_ISL_12039622	SA Pathology	SA Pathology		GISAID	sars2_21L
hCoV-19/Australia/SA366912/2022	Caitlin Selway et al	EPI_ISL_14046488	SA Pathology	SA Pathology		GISAID	sars2_21L
hCoV-19/Seychelles/SS8738/2022	Githinji G. et al	EPI_ISL_15615202	Seychelles Public Health Laboratory	KEMRI-Wellcome Trust Research Programme,Kilifi		GISAID	sars2_21L
hCoV-19/Panama/1328-GMI/2022	Claudia Gonzalez et al	EPI_ISL_15224180	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Mexico/SON-SEARCH-122777/2022	SEARCH Alliance with Abraham Campos Romero et al	EPI_ISL_13529709	Salud Digna, A.C	Andersen lab at Scripps Research		GISAID	sars2_21L
hCoV-19/PuertoRico/PR-ASC-210835695/2022	Cyndi Clark et al	EPI_ISL_14964564	Aegis Sciences Corporation	Aegis Sciences Corporation		GISAID	sars2_21L
hCoV-19/Kuwait/Jaber2220245884/2022	Dr. Zahrah Buhamad et al	EPI_ISL_13610899	Mubarak Al-Kabeer Hospital	Virology Lab, Jaber Al Ahmad Hospital		GISAID	sars2_21L
hCoV-19/USA/MN-MDH-24013/2022	Jacob Garfin et al	EPI_ISL_12565842	UNIVERSITY OF MINNESOTA - INFECTIOUS DISEASE DIAGNOSTIC LABO	Minnesota Department of Health, Public Health Laboratory	ON423579.1	GISAID	sars2_21L
hCoV-19/USA/VT-CDCBI-CRSP_4MHPVXEK6LFGFHRM/2022	Siddle et al	EPI_ISL_9576078	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	OM533326.1	GISAID	sars2_21L
hCoV-19/Poland/PL_P402/2022	Rabalski L. et al	EPI_ISL_9356812	Diagnostyka. Laboratoria Medyczne.	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. Diagtron Laboratoria Łukasz Rąbalski		GISAID	sars2_21L
hCoV-19/Mexico/COL_InDRE_FB14168_E06116755099_S13328/2022	Claudia Wong-Arambula et al	EPI_ISL_13192095	LESP Colima	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		GISAID	sars2_21L
hCoV-19/Australia/WA2570/2022	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	EPI_ISL_11800253	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit		GISAID	sars2_21L
hCoV-19/Spain/MD-HGUGM-6489538/2022	Sergio Buenestado Serrano et al	EPI_ISL_9515439	Hospital General Universitario Gregorio Marañón	Hospital General Universitario Gregorio Marañón		GISAID	sars2_21L
hCoV-19/England/LSPA-34920AC/2022	Donald Fraser et al	EPI_ISL_9506228	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	OV861834.1	GISAID	sars2_21L
hCoV-19/Suriname/SR-1009/2022	Bas B Oude Munnink et al	EPI_ISL_13131246	Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center		GISAID	sars2_21L
hCoV-19/USA/TN-CDC-ASC210551786/2022	Dakota Howard et al	EPI_ISL_10276850	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM785004.1	GISAID	sars2_21L
hCoV-19/Portugal/PT25661/2022	Borges et al	EPI_ISL_9002929	UNILABS	Instituto Nacional de Saude (INSA)		GISAID	sars2_21L
hCoV-19/USA/NY-SUNYQB-61210501503065/2022	Frank Middleton et al	EPI_ISL_11203192	Quadrant Biosciences	SUNY Upstate Medical University		GISAID	sars2_21L
hCoV-19/USA/AR-22U047MD00308/2022	"""Harley et al"	EPI_ISL_17132901	Department of Pathology and Laboratory Services, University of Arkansas for Medical Sciences	Department of Pathology and Laboratory Services, University of Arkansas for Medical Sciences		GISAID	sars2_21L
hCoV-19/India/MN-IBSD-IE-P13-219/2022	Dr. Nanaocha Sharma et al	EPI_ISL_11465784	VRDL RIMS	INSACOG-IBSD Manipur		GISAID	sars2_21L
hCoV-19/USA/MD-IGS-2108799665/2022	Tallon et al	EPI_ISL_9343466	Maryland Genomics, Institute for Genome Sciences, University of Maryland School of Medicine	Maryland Genomics, Institute for Genome Sciences, University of Maryland School of Medicine		GISAID	sars2_21L
hCoV-19/Bangladesh/icddrb-GSB03-189/2022	Mojnu Miah et al	EPI_ISL_9588359	Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)	Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu4981/2022	Chandima Jeewandara et al	EPI_ISL_10407039	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/Jordan/Biolab0648/2022	Issa Abu-Dayyeh et al	EPI_ISL_12226151	Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories		GISAID	sars2_21L
hCoV-19/Bangladesh/IEDCR-GSB12-104/2022	Syed Muktadir Al Sium et al	EPI_ISL_11201995	Khulna Medical College, Khulna	Institute of Epidemiology, Disease Control and Research (IEDCR)		GISAID	sars2_21L
hCoV-19/Singapore/2028/2022	Yichen Ding et al	EPI_ISL_10500814	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/Australia/WA2566/2022	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	EPI_ISL_11800249	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit		GISAID	sars2_21L
hCoV-19/Australia/WA1497/2022	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	EPI_ISL_10348702	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit		GISAID	sars2_21L
hCoV-19/Australia/WA3326/2022	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	EPI_ISL_12626300	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit		GISAID	sars2_21L
hCoV-19/Mauritius/N39628/2022	Amoako DG et al	EPI_ISL_12954916	CENTRAL HEALTH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/USA/MA-CDCBI-CRSP_OZ5SBWLKLWBZ4AKN/2022	Siddle et al	EPI_ISL_9481269	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	OM508416.1	GISAID	sars2_21L
hCoV-19/PuertoRico/PR-CDC-2-5570918/2022	Mili Sheth et al	EPI_ISL_10497954	PR Public Health Lab	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM865647.1	GISAID	sars2_21L
hCoV-19/USA/AL-ASC-210726529/2022	Cyndi Clark et al	EPI_ISL_14958169	Aegis Sciences Corporation	Aegis Sciences Corporation		GISAID	sars2_21L
hCoV-19/Seychelles/SS8710/2022	Githinji G. et al	EPI_ISL_15615195	Seychelles Public Health Laboratory	KEMRI-Wellcome Trust Research Programme,Kilifi		GISAID	sars2_21L
hCoV-19/Vanuatu/VAN39/2022	Sero et al	EPI_ISL_15640905	Vila Central Hospital	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)		GISAID	sars2_21L
hCoV-19/Vanuatu/VAN110/2022	Sero et al	EPI_ISL_15640972	Vila Central Hospital	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)		GISAID	sars2_21L
hCoV-19/UnitedArabEmirates/BTC-11050/2022	AlSafar et al.	EPI_ISL_16802764	Khalifa University Center for Biotechnology	Khalifa University Center for Biotechnology		GISAID	sars2_21L
hCoV-19/NewZealand/22CV4301/2022	Sarah Cockerton et al	EPI_ISL_12546178	Hawke's Bay Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Bhutan/RCDC-4-0016/2022	Chonticha Klungthong et al	EPI_ISL_16984411	AFRIMS	AFRIMS		GISAID	sars2_21L
hCoV-19/Australia/NSW-ICPMR-23225/2022	Arnott A. et al	EPI_ISL_12032754	Pathology West - NSW Health Pathology	NSW Health Pathology - Institute Of Clinical Pathology And Medical Research (ICPMR), Westmead Hospital		GISAID	sars2_21L
hCoV-19/NewZealand/22CH0606/2022	Sarah Cockerton et al	EPI_ISL_9210222	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/TrinidadandTobago/134836/2022	Nikita S. D. Sahadeo et al	EPI_ISL_11998693	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus		GISAID	sars2_21L
hCoV-19/Argentina/77231-16/2022	Castro et al	EPI_ISL_16511032	Laboratorio Central, Ministerio de Salud Córdoba	Departamento Laboratorio Central and Unidad Operativa Centro Nacional de Genómica y Bioinformática		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3506/2022	Sarah Cockerton et al	EPI_ISL_11865978	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3579/2022	Sarah Cockerton et al	EPI_ISL_12544955	Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3029/2022	Sarah Cockerton et al	EPI_ISL_11331461	Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Oman/5225281/2022	Samiha Al Kharusi et al	EPI_ISL_16073626	Oman-NIC	Oman-NIC		GISAID	sars2_21L
hCoV-19/Israel/ICH-741221362/2022	Orly Eshel et al	EPI_ISL_12456672	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center		GISAID	sars2_21L
hCoV-19/Nepal/NPHL-S-1470/2022	National Public Health Laboartory Team/Decode Genomics et al	EPI_ISL_12140453	Decode Genomics and Research Center	National Public Health Laboratory		GISAID	sars2_21L
hCoV-19/USA/ND-CDC-IBX662567198884/2022	Dakota Howard et al	EPI_ISL_9550075	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM524030.1	GISAID	sars2_21L
hCoV-19/Nepal/NPHL-S-1189/2022	National Public Health Laboartory Team/Lumbini Provincial Hospital et al	EPI_ISL_10879896	Lumbini Provincial Hospital	National Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Slovakia/BA_22_00009076/2022	Tomáš Szemes et al	EPI_ISL_10770825	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		GISAID	sars2_21L
hCoV-19/USA/SD-CDC-IBX096173548653/2022	Dakota Howard et al	EPI_ISL_9667469	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM572463.1	GISAID	sars2_21L
hCoV-19/Mauritius/CERI-KRISP-K044259/2022	Sonoo J et al	EPI_ISL_13780226	Central Health Laboratory , Victoria Hospital, Ministry of Health and Wellness, Mauritius	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.		GISAID	sars2_21L
hCoV-19/Jamaica/JAM-UWIMicro-1314/2022	Keisha Francis et al	EPI_ISL_13819669	21 Slipe Pen Road, Kingston, Jamaica, W.I.	Department of Microbiology, University of the West Indies		GISAID	sars2_21L
hCoV-19/Ireland/WH-Enfer-260422007_A1/2022	Elaine M. Kenny et al	EPI_ISL_12473504	Enfer	Enfer		GISAID	sars2_21L
hCoV-19/Bahrain/22020236393/2022	Marhoon et al	EPI_ISL_15250744	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	ON385084.1	GISAID	sars2_21L
hCoV-19/Israel/SMC-7040417/2022	Nir Rainy et al	EPI_ISL_9657149	Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)		GISAID	sars2_21L
hCoV-19/Lebanon/GS-261/2022	Nada M. Melhem et al	EPI_ISL_16583712	American University of Beirut Medical Center	Melhem/Matar lab		GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-16633/2022	Carlos Padilla Rojas et al	EPI_ISL_12530269	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Switzerland/ZH-ETHZ-36484389/2022	Andrea Patrizia Salzmann et al	EPI_ISL_10707269	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	OW052370.1	GISAID	sars2_21L
