Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/NewZealand/20VR2052/2020	EPI_ISL_536792	MZ332165.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al	GISAID	sars2
hCoV-19/NewZealand/20VR2098/2020	EPI_ISL_548125	MZ332203.1	Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al	GISAID	sars2
hCoV-19/UnitedArabEmirates/skmc-3891025/2020	EPI_ISL_582685		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al	GISAID	sars2
hCoV-19/Russia/KYA-CSP-16005_S8/2020	EPI_ISL_8908435		Chief Federal State Budgetary Healthcare Institution “Centre of Hygiene and Epidemiology” of the Federal Medical Biological Agency, Central laboratory of microbiological and clinical diagnostic tests	Federal State Budgetary Institution “Centre for Strategic Planning and Management of Biomedical Health Risks” of the Federal Medical Biological Agency, Laboratory for advanced molecular diagnostics of human diseases.	Mikhaylov et al	GISAID	sars2
hCoV-19/Gambia/GC19-1815/2020	EPI_ISL_561033		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al	GISAID	sars2
hCoV-19/Portugal/R328/2020	EPI_ISL_491285		Instituto Gulbenkian de Ciência	Instituto Gulbenkian de Ciência	Susana Ladeiro et al	GISAID	sars2
hCoV-19/Ghana/35394_S49/2020	EPI_ISL_515094	MT890208.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al	GISAID	sars2
hCoV-19/Ghana/84430_S51/2020	EPI_ISL_515110	MT890233.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al	GISAID	sars2
hCoV-19/Guatemala/GUA-LNS-52628/2020	EPI_ISL_2827859		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al	GISAID	sars2
hCoV-19/Portugal/IGC4606/2020	EPI_ISL_491265		Instituto Gulbenkian de Ciência	Instituto Gulbenkian de Ciência	Susana Ladeiro et al	GISAID	sars2
hCoV-19/Russia/NVS-RII-MH1137S/2020	EPI_ISL_596266		WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al	GISAID	sars2
hCoV-19/Kyrgyzstan/NRL-27543/2020	EPI_ISL_13283913		Republican Reference Laboratory, National TB center, Kyrgyzstan	Republican Reference Laboratory, National TB center, Kyrgyzstan	Gulmira Kalmambetova et al	GISAID	sars2
hCoV-19/Russia/SPE-RII-MH14638S/2021	EPI_ISL_1491693		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al	GISAID	sars2
hCoV-19/Heilongjiang/IVDC-HEB-266/2021	EPI_ISL_9910217		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Ming Yang et al	GISAID	sars2
hCoV-19/Coted-Ivoire/C04-0912/2020	EPI_ISL_681831		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al	GISAID	sars2
hCoV-19/Madagascar/IPM-12127/2020	EPI_ISL_3716444		Virology Unit, Institut Pasteur de Madagascar	Institut Pateur de Dakar	Norosoa Razanajatovo et al	GISAID	sars2
hCoV-19/Netherlands/ZH-EMC-2845/2020	EPI_ISL_2860479		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/Lithuania/MR-LUHS-Eilnr173/2020	EPI_ISL_636839		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al	GISAID	sars2
hCoV-19/SolomonIslands/SOL007/2020	EPI_ISL_4771889		National Referral Hospital Molecular Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Jilini et al	GISAID	sars2
hCoV-19/Kazakhstan/1341/2020	EPI_ISL_1334517		Laboratory of virology, National center of expertise	"RSE ""National Center for Biotechnology"" and RSE ""National Center of Expertise"""	Shevtsov Alexandr et al	GISAID	sars2
hCoV-19/Vietnam/BMH-260321-HANH/2021	EPI_ISL_10895773		Bachmai Hospital	Bachmai Hospital	Phuong Truong et al	GISAID	sars2
hCoV-19/Kazakhstan/7827-2/2021	EPI_ISL_1489929		Laboratory of Virology, National center of expertise	"RSE ""National Center of Expertise"" and RSE ""National center for Biotechnology"""	Abdaliyev Askar et al	GISAID	sars2
hCoV-19/Mozambique/KRISP-MZ158971/2020	EPI_ISL_636976		HP Pemba	KRISP, KZN Research Innovation and Sequencing Platform	Ismael N et al	GISAID	sars2
hCoV-19/Mozambique/KRISP-MZ154276/2020	EPI_ISL_636979		HP Pemba	KRISP, KZN Research Innovation and Sequencing Platform	Ismael N et al	GISAID	sars2
hCoV-19/Paraguay/iics_7842/2021	EPI_ISL_2234880		IICS-UNA	IICS-UNA	Magaly Martinez et al	GISAID	sars2
hCoV-19/Paraguay/REDE-PY37/2021	EPI_ISL_3586988		Laboratorio Central de Salud Publica de Paraguay	Fundação Ezequiel Dias	María José Ortega et al	GISAID	sars2
hCoV-19/Paraguay/33618/2020	EPI_ISL_1340761		Departamento de Virologia, Laboratorio Central de Salud Pública, Avenida Venezuela y Teniente Escurra, Asunción, Paraguay	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al	GISAID	sars2
hCoV-19/Brazil/MS-HRMS_952/2020	EPI_ISL_6633758		Infectious and Parasitic Diseases Laboratory	Infectious and Parasitic Diseases Laboratory	Wellington Fava et al	GISAID	sars2
hCoV-19/Brazil/AC-FIOCRUZ-34585/2020	EPI_ISL_13498047		Laboratorio Rodolphe Merieux Rio Branco	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al	GISAID	sars2
hCoV-19/Peru/LOR-INS-1737/2021	EPI_ISL_3376000		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Bolivia/Pando-GM2-2/2021	EPI_ISL_2462066		Laboratorio de Referencia Departamental en Inmunología, Sedes-Pando	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al	GISAID	sars2
hCoV-19/Bolivia/LaPaz_GM3-3/2021	EPI_ISL_2802858		BioMoLab	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al	GISAID	sars2
hCoV-19/Venezuela/Mon689/2021	EPI_ISL_15104838		INHRR	Laboratorio de Virologia Molecular	Rossana C Jaspe et al	GISAID	sars2
hCoV-19/Brazil/RS-HBM-39519/2021	EPI_ISL_2139545		Laboratorio Exame	Universidade Federal de Ciencias da Saude de Porto Alegre	Vinícius Bonetti Franceschi et al	GISAID	sars2
hCoV-19/Uruguay/DLSP_p636/2021	EPI_ISL_11799625		Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Cortinas et al	GISAID	sars2
hCoV-19/USA/FL-Curative-037520/2021	EPI_ISL_2783928		Curative Labs	Curative Labs	Mikhail Hanewich-Hollatz et al	GISAID	sars2
hCoV-19/Colombia/AMA-INS-VG-636/2021	EPI_ISL_956292		Instituto Nacional de Salud- Dirección de Redes de Laboratorios de Salud Pública	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B	GISAID	sars2
hCoV-19/Colombia/ANT-CWOHC-VG-PSEC01438H/2021	EPI_ISL_3671004		Ayudas Diagnosticas Sura	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al	GISAID	sars2
hCoV-19/USA/WY-WPHL-21029620/2021	EPI_ISL_1913011		Wyoming Public Health Laboratory	Wyoming Public Health Laboratory	Jim Mildenberger et al	GISAID	sars2
hCoV-19/Mexico/BCS-LANGEBIO_IMSS_1485/2021	EPI_ISL_2942602		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Paraguay/WOR12903A845/2021	EPI_ISL_6944610	ON017291.1	Laboratorio Central de Salud Publica	Viral Special Pathogens Branch, Centers for Disease Control and Prevention	Cynthia Vázquez et al	GISAID	sars2
hCoV-19/Brazil/MG-LBI534/2021	EPI_ISL_9983385		Laboratório de Biologia Integrativa/ UFMG	Laboratório de Biologia Integrativa/ UFMG	Paula Luize Camargos Fonseca et al	GISAID	sars2
hCoV-19/Brazil/RS-LMM60970/2021	EPI_ISL_3492508		Laboratório de Microbiologia Molecular - Universidade FEEVALE	Molecular Microbiology Laboratory	Alana Witt Hansen et al	GISAID	sars2
hCoV-19/Uruguay/CUY1-000115_UYRN/2021	EPI_ISL_2031726		Centro de Innovación en Vigilancia Epidemiológica (CiVE), Institut Pasteur Montevideo, Uruguay	Centro de Innovación en Vigilancia Epidemiológica (CiVE), Institut Pasteur Montevideo, Uruguay	Natalia Rego et al	GISAID	sars2
hCoV-19/Argentina/INEI112856/2021	EPI_ISL_7752817		Servicio Virosis Respiratorias-Departamento Virologia-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/Panama/GMI-PAM14957/2021	EPI_ISL_11681846		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Venezuela/Dtt6803/2021	EPI_ISL_15975697		IVIC	Laboratorio de Virologia Molecular	Rossana C Jaspe et al	GISAID	sars2
hCoV-19/Venezuela/Ara148/2021	EPI_ISL_15104835		INHRR	Laboratorio de Virologia Molecular	Rossana C Jaspe et al	GISAID	sars2
hCoV-19/Ecuador/NIC-INSPI-317410/2021	EPI_ISL_2458114		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al	GISAID	sars2
hCoV-19/Argentina/INEI109599/2021	EPI_ISL_5158953		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/TrinidadandTobago/56290/2021	EPI_ISL_8939170		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/TrinidadandTobago/66959/2021	EPI_ISL_8939051		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/TrinidadandTobago/88405/2021	EPI_ISL_6932193		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/TrinidadandTobago/72507/2021	EPI_ISL_2756579		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/Paraguay/239845/2021	EPI_ISL_13148005		Laboratorio CYRLAB	Laboratorio Central de Salud Pública	Sandra Gonzalez et al	GISAID	sars2
hCoV-19/Panama/GMI-PABT12570/2021	EPI_ISL_11695896		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Panama/GMI-PABT12318/2021	EPI_ISL_11695908		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/DominicanRepublic/21886/2021	EPI_ISL_2274005		Laboratorio Nacional de Salud Pública Dr. Defilló - LNSPDD	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al	GISAID	sars2
hCoV-19/DominicanRepublic/Yale-6210/2021	EPI_ISL_3104695		UCC (Universidad Central del Caribe)	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al	GISAID	sars2
hCoV-19/Brazil/SP-IB_101939/2021	EPI_ISL_2344992		CENTRO DE APOIO EPIDEMIOLOGICO	Instituto Butantan / ESALQ-Piracicaba	Dimas Tadeu Covas et al	GISAID	sars2
hCoV-19/Paraguay/91675/2021	EPI_ISL_6944481	ON017506.1	Laboratorio Central de Salud Publica	Viral Special Pathogens Branch, Centers for Disease Control and Prevention	Cynthia Vázquez et al	GISAID	sars2
hCoV-19/Canada/BC-BCCDC-122629/2021	EPI_ISL_3601718		British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-44497/2021	EPI_ISL_3136569		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/USA/MA-MOH-00076/2021	EPI_ISL_6680632		Mass General Brigham	Mass General Brigham	Lemieux et al	GISAID	sars2
hCoV-19/Argentina/INEI105480/2021	EPI_ISL_4082335		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/Paraguay/WOR12903A663/2021	EPI_ISL_6944528	ON017209.1	Laboratorio Central de Salud Publica	Viral Special Pathogens Branch, Centers for Disease Control and Prevention	Cynthia Vázquez et al	GISAID	sars2
hCoV-19/Argentina/INEI107737/2021	EPI_ISL_4083335		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/Uruguay/DLSP_4952/2021	EPI_ISL_12532635		Departamento Laboratorios de Salud P�blica (DLSP) Ministerio de Salud P�blica	Departamento Laboratorios de Salud P�blica (DLSP) Ministerio de Salud P�blica	Cortinas et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-5840/2021	EPI_ISL_4635258		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-4620/2021	EPI_ISL_4280039		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Suriname/SR-463/2021	EPI_ISL_3462621		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al	GISAID	sars2
hCoV-19/Suriname/SR-431/2021	EPI_ISL_3462679		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al	GISAID	sars2
hCoV-19/Brazil/SP-IB_RP76483/2021	EPI_ISL_14204180		Projeto S	Instituto Butantan	Dimas Tadeu Covas et al	GISAID	sars2
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2245/2021	EPI_ISL_8800618		Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Esdenka Pérez et al	GISAID	sars2
hCoV-19/Guatemala/ASI4067/2021	EPI_ISL_3527791		Laboratorio Nacional de Salud	"Asociación de Salud Integral / Clínica Familiar ""Luis Ángel García"""	Eduardo Arathon et al	GISAID	sars2
hCoV-19/Chile/RM-PUC_MVL_1300/2021	EPI_ISL_3535717		Laboratorio de Infectologia y Virologia Molecular	Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile	Catalina Pardo-Roa et al	GISAID	sars2
hCoV-19/Argentina/INEI111362/2021	EPI_ISL_6694984		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/Brazil/AM-FIOCRUZ-21893578FGV/2021	EPI_ISL_4516090		Laboratório Central de Saúde Pública do Amazonas - LACEN-AM	Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia	Valdinete Nascimento et al	GISAID	sars2
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2271/2021	EPI_ISL_8800645		Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Esdenka Pérez et al	GISAID	sars2
hCoV-19/Panama/GMI-PAM18357/2021	EPI_ISL_11681860		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Nicaragua/CNDR-94928/2021	EPI_ISL_15326865		CNDR, Departamento de Virología	CNDR, Departamento de Virología	Angel Balmaseda et al	GISAID	sars2
hCoV-19/Mexico/MEX-INMEGEN-05-01-330/2021	EPI_ISL_2105835		Salud Digna	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al	GISAID	sars2
hCoV-19/Switzerland/BL-SNRCI-29950902/2020	EPI_ISL_414021		Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.	GISAID	sars2
hCoV-19/Mexico/MEX-InDRE_324/2020	EPI_ISL_1060752		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al	GISAID	sars2
hCoV-19/Mexico/AGU-InDRE_F11769B_S1091/2020	EPI_ISL_1516783		LESP Aguascalientes	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al	GISAID	sars2
hCoV-19/Mexico/MOR-InDRE-IBT-308214-NC/2020	EPI_ISL_3463552		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al	GISAID	sars2
hCoV-19/Slovenia/64596/2020	EPI_ISL_1498920		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al	GISAID	sars2
hCoV-19/USA/KS-KHEL-0555/2020	EPI_ISL_1322451		Kansas Health and Environmental Lab	Kansas Health and Environmental Lab	Mike Grose et al	GISAID	sars2
hCoV-19/USA/WA-S2346/2020	EPI_ISL_496978	MT831658.1	Washington State Department of Health	Seattle Flu Study	Deborah A. Nickerson et al	GISAID	sars2
hCoV-19/Chile/RM-171015/2020	EPI_ISL_746726		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al	GISAID	sars2
hCoV-19/Peru/LIM-UPCH-0176/2020	EPI_ISL_729881		Laboratorio de Referencia Nacional de Virus Respiratorios, Instituto Nacional de Salud Peru	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Pablo Tsukayama et al	GISAID	sars2
hCoV-19/NewZealand/20VR3802/2020	EPI_ISL_548138		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al	GISAID	sars2
hCoV-19/Vietnam/VNHN_4958/2020	EPI_ISL_455718		National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al	GISAID	sars2
hCoV-19/Iran/H31100/2020	EPI_ISL_15755283		COVID-19 National Reference Laboratory, Pasteur Institute of Iran	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al	GISAID	sars2
hCoV-19/Azerbaijan/un-ChVir24287_231/2020	EPI_ISL_9214646		Ministry of Health of the Republic of Azerbaijan	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B	GISAID	sars2
hCoV-19/Liaoning/IVDC-YK-212/2021	EPI_ISL_9301315		Liaoning Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Haibo Sun et al	GISAID	sars2
hCoV-19/Liaoning/IVDC-03/2020	EPI_ISL_498693		National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Xiang Zhao et al	GISAID	sars2
hCoV-19/Canada/Qc-HCLM-0081246218/2020	EPI_ISL_1365818		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al	GISAID	sars2
hCoV-19/Estonia/16190899/2021	EPI_ISL_1259048		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.	GISAID	sars2
hCoV-19/Palestine/21/2020	EPI_ISL_596508		Palestinian Ministry of Health	Molecular Genetics Lab	Nouar Qutob et al	GISAID	sars2
hCoV-19/USA/VA-DCLS-3407/2021	EPI_ISL_1371718		Virginia Division of Consolidated Laboratory Services	Virginia Division of Consolidated Laboratory Services	Virginia DCLS et al	GISAID	sars2
hCoV-19/SierraLeone/nmimr-SLE--SLSEQ029/2021	EPI_ISL_15283193		Immunology, Noguchi Memorial Institute for Medical Research	Immunology, Noguchi Memorial Institute for Medical Research	Campbell et al	GISAID	sars2
hCoV-19/SierraLeone/CPHRL-094/2021	EPI_ISL_4755979		China P3 Laboratory	Central Public Health Reference Laboratory	Allan K.O. Campbell et al	GISAID	sars2
hCoV-19/TrinidadandTobago/61387/2021	EPI_ISL_1591721		Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/TrinidadandTobago/55455/2021	EPI_ISL_1591265		Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/USA/VT-MASPHL-02212/2021	EPI_ISL_1503493		Massachusetts State Public Health Laboratory	Massachusetts State Public Health Laboratory	Andrew Lang et al	GISAID	sars2
hCoV-19/USA/MA-CDC-LC0023717/2021	EPI_ISL_1320806	MW781111.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Peter W. Cook et al	GISAID	sars2
hCoV-19/Mongolia/UB-15535/2020	EPI_ISL_9879591		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Tsedenbal et al	GISAID	sars2
hCoV-19/Serbia/Lipljan-005360911/2020	EPI_ISL_904010		Veterinary Specialized Institute Kraljevo	"Veterinary Specialized Institute ""Kraljevo"", Serbia"	Vidanovic et al	GISAID	sars2
hCoV-19/Mexico/HID-InDRE_459/2021	EPI_ISL_1168529		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al	GISAID	sars2
hCoV-19/Peru/LIM-UPCH-2573/2020	EPI_ISL_13107654		Instituto de Medicina Tropical Alexander von Humboldt, Universidad Peruana Cayetano Heredia	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Ericka Meza et al	GISAID	sars2
hCoV-19/Algeria/G35155-8850/2020	EPI_ISL_766864		NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al	GISAID	sars2
hCoV-19/Netherlands/ZH-EMC-355/2020	EPI_ISL_523695		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/Mexico/CHP_LANGEBIO_IMSS_94773-NC/2021	EPI_ISL_2969895		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/MEX-InDRE_182/2020	EPI_ISL_913983		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al	GISAID	sars2
hCoV-19/Mexico/COL_INER_IMSS_00519/2021	EPI_ISL_1585522		Centro de Investigación Biomédica de Occidente (CIBO)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/SON_CIAD-HMO_B2332/2021	EPI_ISL_2533932		CIAD-Hermosillo	Immunology Laboratory	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/USA/ND-NDDH-2978/2021	EPI_ISL_3132380		North Dakota Department of Health, Public Health Laboratory	North Dakota Department of Health, Public Health Laboratory	Lisa Wingerter et al	GISAID	sars2
hCoV-19/Mexico/MEX-InDRE_170/2020	EPI_ISL_913971		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al	GISAID	sars2
hCoV-19/Mexico/TAB_LANGEBIO_IMSS_0614/2021	EPI_ISL_2402032		Unidad de Investigación Médica de Yucatán (UIMY)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/COA_INER_IMSS_00388/2021	EPI_ISL_1585398		Centro de Investigación Biomédica del Noreste (CIBIN)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/GRO-LANGEBIO_IMSS_1774/2021	EPI_ISL_2942851		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/AGU_IBT_IMSS_1465/2021	EPI_ISL_2681317		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/JAL-InDRE_421/2021	EPI_ISL_1168499		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al	GISAID	sars2
hCoV-19/Mexico/CHH_LANGEBIO_IMSS_61434-NC/2021	EPI_ISL_2969890		Centro de Investigacion Biomedica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
